X,Y,id,left,top,right,bottom,row_index,col_index
0.375,40.125,5552,0.375,40.125,0.5,40.25,47,43
0.375,40.0,5553,0.375,40,0.5,40.125,48,43
0.375,38.875,5562,0.375,38.875,0.5,39,57,43
0.375,38.75,5563,0.375,38.75,0.5,38.875,58,43
0.375,38.625,5564,0.375,38.625,0.5,38.75,59,43
0.5,40.375,5678,0.5,40.375,0.625,40.5,45,44
0.5,40.25,5679,0.5,40.25,0.625,40.375,46,44
0.5,40.125,5680,0.5,40.125,0.625,40.25,47,44
0.5,40.0,5681,0.5,40,0.625,40.125,48,44
0.5,39.875,5682,0.5,39.875,0.625,40,49,44
0.5,39.75,5683,0.5,39.75,0.625,39.875,50,44
0.625,40.5,5805,0.625,40.5,0.75,40.625,44,45
0.625,40.375,5806,0.625,40.375,0.75,40.5,45,45
0.625,40.25,5807,0.625,40.25,0.75,40.375,46,45
0.625,40.0,5809,0.625,40,0.75,40.125,48,45
0.625,39.875,5810,0.625,39.875,0.75,40,49,45
0.625,39.75,5811,0.625,39.75,0.75,39.875,50,45
0.75,40.625,5932,0.75,40.625,0.875,40.75,43,46
0.75,40.5,5933,0.75,40.5,0.875,40.625,44,46
0.75,40.375,5934,0.75,40.375,0.875,40.5,45,46
0.75,40.0,5937,0.75,40,0.875,40.125,48,46
0.75,39.875,5938,0.75,39.875,0.875,40,49,46
0.75,39.75,5939,0.75,39.75,0.875,39.875,50,46
0.875,40.875,6058,0.875,40.875,1,41,41,47
0.875,40.75,6059,0.875,40.75,1,40.875,42,47
0.875,40.625,6060,0.875,40.625,1,40.75,43,47
0.875,40.5,6061,0.875,40.5,1,40.625,44,47
0.875,40.0,6065,0.875,40,1,40.125,48,47
0.875,39.875,6066,0.875,39.875,1,40,49,47
0.875,39.75,6067,0.875,39.75,1,39.875,50,47
1,41,6185,1,41,1.125,41.125,40,48
1.0,40.875,6186,1,40.875,1.125,41,41,48
1.0,40.75,6187,1,40.75,1.125,40.875,42,48
1.0,40.625,6188,1,40.625,1.125,40.75,43,48
1.0,39.125,6200,1,39.125,1.125,39.25,55,48
1,39,6201,1,39,1.125,39.125,56,48
1.0,38.875,6202,1,38.875,1.125,39,57,48
1.0,38.75,6203,1,38.75,1.125,38.875,58,48
1.125,41.0,6313,1.125,41,1.25,41.125,40,49
1.125,40.875,6314,1.125,40.875,1.25,41,41,49
1.125,40.75,6315,1.125,40.75,1.25,40.875,42,49
1.125,39.125,6328,1.125,39.125,1.25,39.25,55,49
1.125,39.0,6329,1.125,39,1.25,39.125,56,49
1.125,38.875,6330,1.125,38.875,1.25,39,57,49
1.125,38.75,6331,1.125,38.75,1.25,38.875,58,49
1.125,38.625,6332,1.125,38.625,1.25,38.75,59,49
1.25,41.0,6441,1.25,41,1.375,41.125,40,50
1.25,40.875,6442,1.25,40.875,1.375,41,41,50
1.25,39.25,6455,1.25,39.25,1.375,39.375,54,50
1.25,39.125,6456,1.25,39.125,1.375,39.25,55,50
1.25,39.0,6457,1.25,39,1.375,39.125,56,50
1.25,38.75,6459,1.25,38.75,1.375,38.875,58,50
1.25,38.625,6460,1.25,38.625,1.375,38.75,59,50
1.25,38.5,6461,1.25,38.5,1.375,38.625,60,50
1.375,41.125,6568,1.375,41.125,1.5,41.25,39,51
1.375,41.0,6569,1.375,41,1.5,41.125,40,51
1.375,39.25,6583,1.375,39.25,1.5,39.375,54,51
1.375,39.125,6584,1.375,39.125,1.5,39.25,55,51
1.375,38.75,6587,1.375,38.75,1.5,38.875,58,51
1.375,38.625,6588,1.375,38.625,1.5,38.75,59,51
1.375,38.5,6589,1.375,38.5,1.5,38.625,60,51
1.375,36.75,6603,1.375,36.75,1.5,36.875,74,51
1.5,41.125,6696,1.5,41.125,1.625,41.25,39,52
1.5,41.0,6697,1.5,41,1.625,41.125,40,52
1.5,39.25,6711,1.5,39.25,1.625,39.375,54,52
1.5,39.125,6712,1.5,39.125,1.625,39.25,55,52
1.5,38.875,6714,1.5,38.875,1.625,39,57,52
1.5,38.75,6715,1.5,38.75,1.625,38.875,58,52
1.5,38.625,6716,1.5,38.625,1.625,38.75,59,52
1.5,38.5,6717,1.5,38.5,1.625,38.625,60,52
1.625,41.125,6824,1.625,41.125,1.75,41.25,39,53
1.625,41.0,6825,1.625,41,1.75,41.125,40,53
1.625,39.25,6839,1.625,39.25,1.75,39.375,54,53
1.625,39.125,6840,1.625,39.125,1.75,39.25,55,53
1.625,39.0,6841,1.625,39,1.75,39.125,56,53
1.625,38.875,6842,1.625,38.875,1.75,39,57,53
1.625,38.75,6843,1.625,38.75,1.75,38.875,58,53
1.625,38.625,6844,1.625,38.625,1.75,38.75,59,53
1.625,38.5,6845,1.625,38.5,1.75,38.625,60,53
1.625,36.75,6859,1.625,36.75,1.75,36.875,74,53
1.75,41.125,6952,1.75,41.125,1.875,41.25,39,54
1.75,39.25,6967,1.75,39.25,1.875,39.375,54,54
1.75,39.125,6968,1.75,39.125,1.875,39.25,55,54
1.75,39.0,6969,1.75,39,1.875,39.125,56,54
1.75,38.875,6970,1.75,38.875,1.875,39,57,54
1.75,38.75,6971,1.75,38.75,1.875,38.875,58,54
1.75,38.625,6972,1.75,38.625,1.875,38.75,59,54
1.75,36.75,6987,1.75,36.75,1.875,36.875,74,54
1.875,41.125,7080,1.875,41.125,2,41.25,39,55
1.875,39.125,7096,1.875,39.125,2,39.25,55,55
1.875,39.0,7097,1.875,39,2,39.125,56,55
1.875,38.875,7098,1.875,38.875,2,39,57,55
1.875,36.75,7115,1.875,36.75,2,36.875,74,55
2.0,41.25,7207,2,41.25,2.125,41.375,38,56
2.0,41.125,7208,2,41.125,2.125,41.25,39,56
2.0,36.75,7243,2,36.75,2.125,36.875,74,56
2.125,41.25,7335,2.125,41.25,2.25,41.375,38,57
2.125,41.125,7336,2.125,41.125,2.25,41.25,39,57
2.125,39.625,7348,2.125,39.625,2.25,39.75,51,57
2.125,39.5,7349,2.125,39.5,2.25,39.625,52,57
2.125,36.75,7371,2.125,36.75,2.25,36.875,74,57
2.25,41.375,7462,2.25,41.375,2.375,41.5,37,58
2.25,41.25,7463,2.25,41.25,2.375,41.375,38,58
2.25,41.125,7464,2.25,41.125,2.375,41.25,39,58
2.25,39.75,7475,2.25,39.75,2.375,39.875,50,58
2.25,39.625,7476,2.25,39.625,2.375,39.75,51,58
2.25,39.5,7477,2.25,39.5,2.375,39.625,52,58
2.25,39.375,7478,2.25,39.375,2.375,39.5,53,58
2.25,36.75,7499,2.25,36.75,2.375,36.875,74,58
2.375,41.375,7590,2.375,41.375,2.5,41.5,37,59
2.375,41.25,7591,2.375,41.25,2.5,41.375,38,59
2.375,39.75,7603,2.375,39.75,2.5,39.875,50,59
2.375,39.625,7604,2.375,39.625,2.5,39.75,51,59
2.375,39.5,7605,2.375,39.5,2.5,39.625,52,59
2.375,39.375,7606,2.375,39.375,2.5,39.5,53,59
2.375,39.25,7607,2.375,39.25,2.5,39.375,54,59
2.375,36.75,7627,2.375,36.75,2.5,36.875,74,59
2.5,41.5,7717,2.5,41.5,2.625,41.625,36,60
2.5,41.375,7718,2.5,41.375,2.625,41.5,37,60
2.5,39.875,7730,2.5,39.875,2.625,40,49,60
2.5,39.75,7731,2.5,39.75,2.625,39.875,50,60
2.5,39.375,7734,2.5,39.375,2.625,39.5,53,60
2.5,39.25,7735,2.5,39.25,2.625,39.375,54,60
2.5,36.875,7754,2.5,36.875,2.625,37,73,60
2.5,36.75,7755,2.5,36.75,2.625,36.875,74,60
2.625,41.5,7845,2.625,41.5,2.75,41.625,36,61
2.625,41.375,7846,2.625,41.375,2.75,41.5,37,61
2.625,40.0,7857,2.625,40,2.75,40.125,48,61
2.625,39.875,7858,2.625,39.875,2.75,40,49,61
2.625,39.5,7861,2.625,39.5,2.75,39.625,52,61
2.625,39.375,7862,2.625,39.375,2.75,39.5,53,61
2.625,39.25,7863,2.625,39.25,2.75,39.375,54,61
2.625,39.125,7864,2.625,39.125,2.75,39.25,55,61
2.625,36.875,7882,2.625,36.875,2.75,37,73,61
2.625,36.75,7883,2.625,36.75,2.75,36.875,74,61
2.75,41.625,7972,2.75,41.625,2.875,41.75,35,62
2.75,41.5,7973,2.75,41.5,2.875,41.625,36,62
2.75,40.0,7985,2.75,40,2.875,40.125,48,62
2.75,39.875,7986,2.75,39.875,2.875,40,49,62
2.75,39.375,7990,2.75,39.375,2.875,39.5,53,62
2.75,39.25,7991,2.75,39.25,2.875,39.375,54,62
2.75,39.125,7992,2.75,39.125,2.875,39.25,55,62
2.75,39.0,7993,2.75,39,2.875,39.125,56,62
2.75,36.875,8010,2.75,36.875,2.875,37,73,62
2.75,36.75,8011,2.75,36.75,2.875,36.875,74,62
2.875,41.625,8100,2.875,41.625,3,41.75,35,63
2.875,41.5,8101,2.875,41.5,3,41.625,36,63
2.875,40.0,8113,2.875,40,3,40.125,48,63
2.875,39.25,8119,2.875,39.25,3,39.375,54,63
2.875,39.125,8120,2.875,39.125,3,39.25,55,63
2.875,39.0,8121,2.875,39,3,39.125,56,63
2.875,37.0,8137,2.875,37,3,37.125,72,63
2.875,36.875,8138,2.875,36.875,3,37,73,63
3.0,41.75,8227,3,41.75,3.125,41.875,34,64
3.0,41.625,8228,3,41.625,3.125,41.75,35,64
3.0,40.125,8240,3,40.125,3.125,40.25,47,64
3,40,8241,3,40,3.125,40.125,48,64
3.0,39.25,8247,3,39.25,3.125,39.375,54,64
3.0,39.125,8248,3,39.125,3.125,39.25,55,64
3,39,8249,3,39,3.125,39.125,56,64
3,37,8265,3,37,3.125,37.125,72,64
3.0,36.875,8266,3,36.875,3.125,37,73,64
3.125,41.75,8355,3.125,41.75,3.25,41.875,34,65
3.125,41.625,8356,3.125,41.625,3.25,41.75,35,65
3.125,40.125,8368,3.125,40.125,3.25,40.25,47,65
3.125,40.0,8369,3.125,40,3.25,40.125,48,65
3.125,39.875,8370,3.125,39.875,3.25,40,49,65
3.125,39.25,8375,3.125,39.25,3.25,39.375,54,65
3.125,39.125,8376,3.125,39.125,3.25,39.25,55,65
3.125,39.0,8377,3.125,39,3.25,39.125,56,65
3.125,37.0,8393,3.125,37,3.25,37.125,72,65
3.125,36.875,8394,3.125,36.875,3.25,37,73,65
3.125,36.75,8395,3.125,36.75,3.25,36.875,74,65
3.25,42.125,8480,3.25,42.125,3.375,42.25,31,66
3.25,42.0,8481,3.25,42,3.375,42.125,32,66
3.25,41.875,8482,3.25,41.875,3.375,42,33,66
3.25,41.75,8483,3.25,41.75,3.375,41.875,34,66
3.25,40.125,8496,3.25,40.125,3.375,40.25,47,66
3.25,40.0,8497,3.25,40,3.375,40.125,48,66
3.25,39.875,8498,3.25,39.875,3.375,40,49,66
3.25,39.75,8499,3.25,39.75,3.375,39.875,50,66
3.25,39.375,8502,3.25,39.375,3.375,39.5,53,66
3.25,39.25,8503,3.25,39.25,3.375,39.375,54,66
3.25,39.125,8504,3.25,39.125,3.375,39.25,55,66
3.25,37.0,8521,3.25,37,3.375,37.125,72,66
3.25,36.875,8522,3.25,36.875,3.375,37,73,66
3.375,42.25,8607,3.375,42.25,3.5,42.375,30,67
3.375,42.125,8608,3.375,42.125,3.5,42.25,31,67
3.375,42.0,8609,3.375,42,3.5,42.125,32,67
3.375,41.875,8610,3.375,41.875,3.5,42,33,67
3.375,41.75,8611,3.375,41.75,3.5,41.875,34,67
3.375,40.0,8625,3.375,40,3.5,40.125,48,67
3.375,39.875,8626,3.375,39.875,3.5,40,49,67
3.375,39.5,8629,3.375,39.5,3.5,39.625,52,67
3.375,39.375,8630,3.375,39.375,3.5,39.5,53,67
3.375,39.25,8631,3.375,39.25,3.5,39.375,54,67
3.375,37.0,8649,3.375,37,3.5,37.125,72,67
